donor_id,version,local_file_sha256,source_sha256,source_unchanged,freshload_status,material_readback_status,git_tracked
CN106154501A,V0_native,f3473401c8e4b1e22932b2a29bc7e1a45e515c5610ebbd443fcc83212bf69211,f3473401c8e4b1e22932b2a29bc7e1a45e515c5610ebbd443fcc83212bf69211,YES,PASS,NATIVE_MODEL_GLASS,NO
CN106154501A,V2_dji_nearest,c5f59c30b5c83a8ffc99610ad33ea349252e98c7eb0d68e83bffde15d36224bc,f3473401c8e4b1e22932b2a29bc7e1a45e515c5610ebbd443fcc83212bf69211,YES,PASS,9_OF_9_PASS,NO
CN106154501A,V3_dji_role_aware,761f651148d23fc15c87902cb43c1e7fcaa6407701a664f97dfdc077f09ace85,f3473401c8e4b1e22932b2a29bc7e1a45e515c5610ebbd443fcc83212bf69211,YES,PASS,9_OF_9_PASS,NO
CN114047597A,V0_native,a11ed5e18051abdf2c8988df538b62a6bb148856a0b1550c1dad743f2a2f4ad5,a11ed5e18051abdf2c8988df538b62a6bb148856a0b1550c1dad743f2a2f4ad5,YES,PASS,NATIVE_MODEL_GLASS,NO
CN114047597A,V2_dji_nearest,168a8371266a28f100b7ececb58049f6017fd0ad451e8c722ea293d8ebbd3da3,a11ed5e18051abdf2c8988df538b62a6bb148856a0b1550c1dad743f2a2f4ad5,YES,PASS,8_OF_8_PASS,NO
CN114047597A,V3_dji_role_aware,fa74ec80d0181aec9da49c3ecac25dcac552ecf0445dcbbbc7bb1347e987471c,a11ed5e18051abdf2c8988df538b62a6bb148856a0b1550c1dad743f2a2f4ad5,YES,PASS,8_OF_8_PASS,NO
